len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
53,6,0,0,18,2,17,3,2,0,10,5,8,7.5,0,18,4,0,0,0,0,0,-1,-1,-1,-1,http://www.villabello.dk/wp-admin/network/boxMrenewal.php...,1
65,3,0,0,33,4,17,4,4,0,7,3.5,14,7,0,15,0,0,0,0,0,0,232,8,502,-1,http://www.newsnow.co.uk/h/Sport/Football/Premier+League/Manchester+City,0
16,2,0,0,1,0,15,3,0,0,5,4.333333333,0,0,0,0,0,0,0,0,0,0,226,2,726,16970,http://first.sipri.org/,0
27,2,0,1,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,167,13,242,0,http://www.complexity-society.com/,0
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.cellprofiler.org/,0
66,4,0,0,48,6,14,2,6,0,11,6.5,18,6.833333333,0,4,3,0,0,0,0,0,56,4,-1,-1,http://bmwclubavto.ru/p/p/Conflict/Resolution/www/PP-009-176-639-801/1...,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,173,7,171,-1,http://www.tubularradio.com/,0
45,3,0,0,12,1,22,3,1,0,14,6.666666667,10,10,0,11,1,0,0,0,0,0,200,40,488,-1,http://www.thefreecountry.com/sourcecode/index.shtml,0
21,1,0,0,1,0,20,2,0,0,16,9.5,0,0,0,0,0,0,0,0,0,0,190,2,339,-1,http://watergelcrystals.com/,0
36,2,0,0,7,1,20,3,1,0,13,6,5,5,0,9,0,0,0,0,0,0,-1,-1,-1,-1,http://oreidaomelete.com.br/admin/GoogleDoc,1
32,3,0,0,13,2,19,4,2,0,8,4,6,5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.uniquems.com.do/glaw/Gdoccc/,1
20,2,0,0,1,0,19,3,0,0,12,5.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.recordcellar.ca/,0
40,4,0,0,1,0,19,4,0,0,8,4,0,0,0,20,1,2,0,0,0,0,52,20,156,-1,http://www.remuseum.org.uk/rem_his_bio.htm#null,0
66,7,0,0,19,2,17,3,2,0,9,5,14,8,0,30,3,0,0,0,0,0,16,8,125,-1,http://www.tediindia.com/as/impots.gouv.fr/299848aa6b7e16b7471ca7d3731...,1
27,1,0,0,15,2,12,2,2,0,8,5.5,8,6,0,0,0,0,0,0,0,0,3,9,27,-1,http://uwasaleh.org/aluminum/gtex/,1
54,6,0,1,24,4,18,3,4,0,9,5.333333333,8,4.75,0,12,4,0,0,0,0,0,75,9,135,13630,http://mail.bio-files.net/~masseri/invoice/Ed/Ed/index.php...,1
66,6,0,0,28,4,17,4,4,0,6,3.5,7,5.75,0,21,3,0,0,0,0,0,-1,-1,-1,-1,http://www.adicon.com.cn/images/qkfiles/201507/Home/468bd952cbfadbd44e...,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,218,3,286,-1,http://www.stickyfingers.com/,0
101,3,0,0,30,4,25,3,4,0,17,7.666666667,17,6.25,0,46,1,5,0,0,0,0,123,9,98,345,http://www.oldfootballshirts.com/en/teams/m/manchester-united/old-manchester-united-football-shirts-t12.html,0
16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,164,16,237,85260,http://www.theicrc.org/,0
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,236,16,663,-1,http://www.russellstover.com/,0
27,3,0,0,11,1,16,4,1,0,4,3.25,9,9,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.engr.unl.edu/~glibrary/,0
18,2,0,1,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,192,12,38,90231,http://www.axn-india.com/,0
66,4,0,0,54,1,8,2,1,0,5,3.5,52,52,0,4,3,0,0,0,0,0,29,7,-1,-1,http://luv56.ru/CIBCOnline%20olbtxn%20Authentication%20SignOn%20cibc/i...,1
17,1,0,0,1,0,16,2,0,0,12,7.5,0,0,0,0,0,0,0,0,0,0,244,32,476,-1,http://cowboycoffee.com/,0
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,191,73,795,39705,http://www.houseparent.net/,0
42,5,0,0,18,2,21,3,2,0,13,6.333333333,10,7.5,0,3,3,0,0,0,0,0,47,1,343,-1,http://www.bdforexschool.com/upyou/newdropbox/...,1
52,5,0,0,28,2,21,3,2,0,13,6.333333333,16,12.5,0,3,3,0,0,0,0,0,53,7,474,-1,http://www.forestersrest.com/aichtechnologies/filewords/...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,253,35,688,606103305,http://www.newberry.org/,0
66,5,0,0,35,4,15,3,4,0,6,4.333333333,15,7.5,0,16,3,0,0,0,0,0,-1,-1,-1,-1,http://amazon.wio5p.cf/536547/ger/amazon/oqJkhR6lZKdF5xC/sicherheitsce...,1
16,1,0,0,7,1,9,2,1,0,6,4,5,5,0,0,0,0,0,0,0,0,66,6,178,-1,http://lindos.pl/Zone1/,1
24,2,0,1,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,223,5,196,-1,http://www.crabtree-evelyn.com/,0
48,4,0,0,15,2,24,2,2,0,21,11.5,7,6,1,9,3,0,0,0,0,0,-1,-1,-1,-1,http://resolutionservicehelp.gq/webapps/5f344/websrc...,1
14,1,0,0,1,0,13,2,0,0,9,6,0,0,0,0,0,0,0,0,0,0,169,11,87,0,http://allometra.com/,0
39,5,0,0,11,1,18,5,1,0,4,2.8,9,9,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://www.jn.inf.ethz.ch/education/index.html,0
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,245,79,102,600002,http://www.thehindu.com/,0
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,207,33,372,-1,http://www.omkafe.com/,0
66,5,0,0,15,3,27,3,3,0,19,8.333333333,5,3.666666667,0,24,3,0,0,0,0,0,60,0,753,60586,http://www.plainfieldriverdays.com/js/ajax/bobbu/432050c8b70b0bc9b1c2d...,1
66,5,0,0,32,4,27,3,4,0,20,8.333333333,10,6.75,0,7,3,0,0,0,0,0,-1,-1,-1,-1,http://hospitaldeolhosdejau.com.br/wp-content/plugins/Zone1/Zone1/logi...,1
40,3,0,0,11,1,18,3,1,0,10,5.333333333,9,9,0,11,1,0,0,0,0,0,268,8,117,30309,http://www.mindspring.com/~mfpatton/sclinic.htm,0
59,3,0,0,43,6,16,4,6,0,5,3.25,12,6,0,0,0,0,0,0,0,0,-1,7,-1,110002,http://www.delhi.gov.in/wps/wcm/connect/doit_dcnorth/dcnorth/Home/,0
13,2,0,0,1,0,12,3,0,0,5,3.333333333,0,0,0,0,0,0,0,0,0,0,-1,4,-1,110003,http://wrmin.nic.in/,0
37,2,0,0,1,0,16,2,0,0,11,7.5,0,0,0,20,1,1,0,0,0,0,134,22,76,53,http://keithbriggs.info/klein-polyhedra.html,0
66,7,0,0,26,2,20,4,2,0,9,4.25,16,11.5,0,20,4,1,0,0,0,0,-1,-1,-1,-1,http://www.indusmack.com.br/Service/ID-2036584618311/Clients.Impot-Gou...,1
66,5,0,0,31,4,22,3,4,0,15,6.666666667,10,6.5,0,13,3,0,0,0,0,0,-1,-1,-1,-1,http://spicesofindiagc.com.au/errors/default/css/Fr-Labnque/LaBanquePo...,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,190,2,305,-1,http://www.foreveroldies.com/,0
51,6,1,0,14,1,34,4,1,0,19,7.75,12,12,0,3,3,0,0,0,0,0,95,1,331,510178,http://www.fbcancelblockcode19.fnhost.org/confirmation/...,1
20,2,0,1,10,1,10,2,1,0,6,4.5,8,8,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://usaa-a.com/usaa.com/,1
44,5,0,1,24,2,17,3,2,0,6,5,14,10.5,0,3,3,0,0,0,0,0,59,1,330,71,http://941550.vps-10.com/appleID/user12-appleid/...,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,181,47,455,-1,http://www.dreamlandbbq.com/,0
66,6,0,0,40,6,22,2,6,0,18,10.5,7,5.5,0,4,3,0,0,0,0,0,134,10,1607,-1,http://executivehomerents.com/joomla/images/banners/data/.ppl.us/ppl/3...,1
65,8,1,0,36,3,23,3,3,0,9,7,19,10.66666667,0,6,3,0,0,0,0,0,166,98,395,77092,https://gator4214.hostgator.com/~admin2/zone.mobile.free.fr/logine/c46...,1
25,1,0,0,8,1,17,2,1,0,13,8,6,6,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://newprojecters.com/cruise/,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,156,12,394,20005,http://www.aidemocracy.org/,0
66,4,0,0,1,0,17,2,0,0,13,8,0,0,0,48,3,0,0,0,0,0,78,18,481,-1,http://ourclementine.com/Easyweb%20TD%20Bank%20Trust%20Canada%20Online...,1
23,1,0,0,5,1,18,2,1,0,14,8.5,3,3,0,0,0,0,0,0,0,0,13,11,9,-1,http://srilankanenews.com/css/,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,152,4,240,-1,http://www.convertspot.com/,0
11,2,0,0,1,0,10,3,0,0,3,2.666666667,0,0,0,0,0,0,0,0,0,0,7,11,57,-1,http://www.nac.pl/,0
36,2,0,0,9,1,27,3,1,0,20,8.333333333,7,7,0,0,0,0,0,0,0,0,70,2,313,-1,http://gz.airplanepilotlessons.com/SUCCESS/,1
42,6,1,2,1,0,21,3,0,0,15,6.333333333,0,0,0,20,4,1,0,0,0,0,-1,-1,-1,-1,http://apps-my-confirm.at.ua/confirm-page.html...,1
27,2,0,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,160,20,119,-1,http://www.hongkongflowershop.com/,0
60,5,0,0,5,1,18,2,1,0,14,8.5,3,3,0,13,1,1,24,2,10,0,87,33,1672,-1,http://uppermcdonalds.com/xlx/connect_i.php?n=1774256418&amp;amp...,1
66,5,1,0,12,2,22,2,2,0,18,10.5,5,4.5,0,9,1,0,23,1,0,0,-1,-1,-1,-1,http://acnetreatmentworld.org/etoo/loing/login.php?xlkdpn2o0cb1ogijgxq...,1
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,108,108,20,-1,http://www.bloomsbythebox.com/,0
64,3,0,0,33,4,17,4,4,0,7,3.5,14,7,0,14,0,0,0,0,0,0,232,8,502,-1,http://www.newsnow.co.uk/h/Sport/Football/Premier+League/Leicester+City,0
66,5,0,2,21,3,39,3,3,0,28,12.33333333,8,5.666666667,0,6,3,0,0,0,0,0,3,9,61,-1,http://paypal.kontox00-kunden-aktualiseren.com/693654/deu/konflict/387...,1
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,280,8,118,20910,http://dsc.discovery.com/,0
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,212,112,111,-1,http://www.ioffer.com/,0
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,226,38,1203,-1,http://www.kiwipower.com/,0
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,228,23,279,-1,http://www.marketwatch.com/,0
66,5,0,0,38,2,21,3,2,0,14,6.333333333,32,17.5,0,7,3,0,0,0,0,0,-1,-1,-1,-1,http://dutycosmeticos.com.br/www/c37d1338de9bd133e495eeb1c05d3e24/upda...,1
26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,172,68,745,-1,http://www.waterfrontrecords.com/,0
16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,184,44,515,55113,http://www.devotea.com/,0
36,3,0,0,13,2,14,3,2,0,7,4,5,5,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://www.engmina.ir/leias/ribey/index.php,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,231,9,297,-1,http://www.edgarbrown.com/,0
19,3,0,1,1,0,18,4,0,0,8,3.75,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.nhm-wien.ac.at/,0
66,5,0,0,1,0,31,3,0,0,18,9.666666667,0,0,0,34,3,0,0,0,0,0,26,10,55,-1,http://encryptedocspdfssl.qatarism.com/0c631e5a1d501a333938c3324197542...,1
26,3,0,0,7,1,19,4,1,0,8,4,5,5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.eloahair.com.br/Zone1/,1
27,3,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,10,1,0,0,0,0,0,36,12,11,40124,http://www.elmonkey.com/footer.php,1
22,2,0,0,1,0,11,2,0,0,7,5,0,0,0,10,1,1,0,0,0,0,17,7,150,-1,http://milapaz.com/CN-Ali.htm,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,194,34,800,84,http://www.rixrecords.com/,0
24,2,0,0,7,1,17,3,1,0,9,5,5,5,0,0,0,0,0,0,0,0,211,5,1660,-1,http://www.ghfordtea.com/store/,0
66,6,1,0,15,1,17,3,1,0,9,5,13,13,0,9,1,0,25,2,12,1,2,10,66,-1,http://www.nops2sign.com/wp-wellsfargo/step2.php?cmd=login_submit&amp;...,1
14,2,0,0,1,0,13,3,0,0,6,3.666666667,0,0,0,0,0,0,0,0,0,0,-1,4,-1,110003,http://cabsec.nic.in/,0
69,2,0,0,44,2,16,3,2,0,8,4.666666667,33,20.5,0,9,0,1,0,0,0,0,277,23,43,1043,http://www.elsevier.com/journals/bba-biochimica-et-biophysica-acta/FS00-0253,0
66,5,1,0,43,5,16,2,5,0,12,7.5,11,7.4,0,7,3,0,0,0,0,0,10,2,230,682016,http://discernhomes.com/.usaaupdate/contact/contact/contact/login/inde...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,101,19,485,-1,http://www.dfwvases.com/,0
48,5,0,0,11,1,23,3,1,0,16,7,9,9,0,14,3,0,0,0,0,0,-1,-1,-1,-1,http://amadeireirasilva.com.br/homepravc/pbbw8k9a8w9...,1
17,2,0,0,5,1,12,3,1,0,5,3.333333333,3,3,0,0,0,0,0,0,0,0,-1,3,-1,-1,http://www.sms18.in/aol/,1
25,2,0,0,1,0,17,3,0,0,9,5,0,0,0,7,0,0,0,0,0,0,217,11,691,-1,http://www.nancybain.com/webmail,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,227,97,363,-1,http://www.theauroragrp.com/,0
14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,237,3,149,70327,http://www.smart.com/,0
33,2,1,0,4,1,20,2,1,0,16,9.5,2,2,0,9,1,0,0,0,0,0,43,4,514,-1,http://accenttechnosoft.com/11/Login.htm,1
62,5,0,0,32,4,26,3,4,0,13,8,8,6.75,0,4,3,0,0,0,0,0,137,19,193,-1,https://itaunet1.websiteseguro.com/cadastro/cliente/email/modules/b...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.adrindia.org/,0
33,3,0,1,1,0,20,3,0,0,12,6,0,0,0,12,1,0,0,0,0,0,185,7,174,-1,http://www.jobs-central.com/homejobs.htm,0
42,5,0,1,13,1,26,3,1,0,16,8,11,11,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://bancas.intermatiicos-ec.ga/Personals__/...,1
43,4,0,0,10,1,21,4,1,0,7,4.5,8,8,0,12,1,0,0,0,0,0,-1,-1,-1,-1,http://www.library.mcgill.ca/rarebook/bibcanho.htm,0
30,2,0,0,1,0,29,3,0,0,21,9,0,0,0,0,0,0,0,0,0,0,49,11,18,-1,http://www.decadentlittlemorsels.com/,0
66,7,0,1,20,3,14,2,3,0,10,6.5,8,5.333333333,0,15,2,0,17,1,9,0,41,7,152,-1,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,1
66,5,0,0,10,1,21,3,1,0,14,6.333333333,8,8,0,35,3,0,0,0,0,0,-1,-1,-1,-1,http://buffetcomecome.com.br/adobepdf/59bcfbb62125f023256e2b508a42909c...,1
27,2,0,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,190,14,1431,37,http://www.appliedprobability.org/,0
47,5,0,0,33,6,11,3,6,0,4,3,7,4.333333333,0,3,3,0,0,0,0,0,-1,6,-1,-1,http://mozi.cdc.im/wb3ap/acs/img/us54/1netlgn/page/...,1
16,3,0,0,1,0,15,4,0,0,5,3,0,0,0,0,0,0,0,0,0,0,65,7,20,-1,http://www.wowhd.co.uk/,0
66,4,0,0,39,2,14,2,2,0,10,6.5,32,18,0,13,3,0,0,0,0,0,111,9,91,97201,http://gowebtools.com/bobs/5c112fb66892521da01965bc83b93258/verificati...,1
57,5,0,0,35,6,9,2,6,0,6,4,5,4.666666667,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://52vape.tw/remno/drive/drive/auth/view/share/index.html...,1
46,3,0,0,8,1,21,3,1,0,9,6.333333333,6,6,0,17,1,0,0,0,0,0,246,6,970,-1,http://mathworld.wolfram.com/topics/NumberTheory.html,0
60,8,0,4,1,0,56,6,0,0,13,8.5,0,0,0,3,3,0,0,0,0,0,78,42,1087,-1,http://dpboxviewer.com.208-91-198-99.plesk-web17.webhostbox.net/...,1
17,2,0,0,1,0,16,3,0,0,9,4.666666667,0,0,0,0,0,0,0,0,0,0,-1,45,-1,110001,http://www.liveindia.in/,0
24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,133,23,88,631,http://www.americanprophet.org/,0
18,1,0,0,1,0,17,2,0,0,13,8,0,0,0,0,0,0,0,0,0,0,171,69,1243,110002,http://indianexpress.com/,0
66,7,0,0,1,0,15,3,0,0,8,4.333333333,0,0,0,50,5,2,0,0,0,0,-1,9,-1,-1,http://lnx.hasninrf.it/PayaSSsl.CEanada.tNZnZZlR3ZdyZZ-5RkZZDRTZZBy-Cb...,1
66,6,0,3,1,0,56,4,0,0,24,13.25,0,0,0,9,3,0,0,0,0,0,-1,-1,-1,-1,http://status-check2332-1330.paypal.de-sicherheitszentrumlog.cf/979603...,1
66,5,1,0,45,2,12,3,2,0,4,3.333333333,38,21,0,9,3,0,0,0,0,0,20,4,257,682017,http://www.ltit.org/review-processing-loading-docum-signin/view/passiv...,1
23,2,0,0,1,0,13,2,0,0,9,6,0,0,0,9,1,0,0,0,0,0,37,11,972,92821,http://handasapc.com/htd3.html,1
66,6,1,0,48,5,13,3,5,0,5,3.666666667,13,8.4,0,5,3,0,0,0,0,0,85,11,21,70808,http://www.cicla.org/ltunesconnect/apple.id/update/customer/service/lo...,1
26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,90,6,180,-1,http://www.nanorobotinventor.com/,0
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,233,19,474,-1,https://www.naturopathica.com/,0
66,9,1,0,1,0,31,6,0,0,8,4.333333333,0,0,0,34,4,3,0,0,0,0,-1,-1,-1,-1,http://accounts.googe.com.mjca2.com.br/q17P375T.php-1465002672-1-07b59...,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,202,14,478,-1,http://www.jumpymonkey.com/,0
66,6,0,0,27,3,35,4,3,0,14,8,9,7.666666667,0,4,3,0,0,0,0,0,-1,-1,-1,-1,http://expoolavarria.ruralolavarria.com.ar/libraries/be082262a/mc!ty/f...,1
22,2,0,0,5,1,17,3,1,0,9,5,3,3,0,0,0,0,0,0,0,0,35,1,60,-1,http://www.karejones.com/Doc/,1
50,7,1,0,12,1,26,4,1,0,15,5.75,10,10,0,12,4,0,0,0,0,0,-1,-1,-1,-1,http://www.hungrywednesday.com.au/wellsfargo/login.htm...,1
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,173,7,144,-1,http://www.privathospital.org/,0
63,5,0,0,43,2,17,3,2,0,10,5,32,20,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://zedopastel.com.br/includes/64a7ce6a65e96e3db3e1c5e34f271107/...,1
32,2,0,0,1,0,31,3,0,0,23,9.666666667,0,0,0,0,0,0,0,0,0,0,172,8,162,-1,http://www.jfrancisantiquefirearms.com/,0
19,2,0,1,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,189,39,646,60606,http://www.tea-affair.com/,0
61,6,0,0,41,3,17,4,3,0,6,3.5,32,12.33333333,0,3,3,0,0,0,0,0,-1,7,-1,-1,http://www.pluton.com.mx/nab/3D/a3dd898300fe9b3ac7949ca10c7ca909/...,1
32,3,0,0,1,0,22,3,0,0,15,6.666666667,0,0,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://approtectioncup.hol.es/index.htm,1
36,1,0,0,18,2,18,2,2,0,14,8.5,11,7.5,0,0,0,0,0,0,0,0,18,6,189,-1,http://konarkresearch.com/wp-includes/usaa/,1
16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,235,65,576,-1,http://www.aacardi.com/,0
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,251,1,338,98083,http://www.ncstrl.org/,0
66,5,1,0,14,2,11,2,2,0,7,5,6,5.5,0,5,1,0,36,1,33,3,17,7,17,-1,http://selcomm.net/update/yahoo/u.php?l=_jehfuq_vjoxk0qwhtogydw_produc...,1
66,4,0,1,29,2,24,2,2,0,21,11.5,17,13,0,13,3,0,0,0,0,0,-1,-1,-1,76135,http://computerservice-filip.de/plaintext/00000198640aab305/000001985b...,1
44,3,0,0,21,3,11,3,3,0,3,3,8,5.666666667,0,12,1,0,0,0,0,0,-1,-1,-1,-1,http://web.mit.edu/redingtn/www/netadv/welcome.html,0
26,3,0,0,1,0,18,3,0,0,11,5.333333333,0,0,0,7,1,0,0,0,0,0,-1,8,142,44238,http://10000002658.2fh.co/Log.php,1
35,2,0,0,10,2,16,2,2,0,12,7.5,4,3.5,0,9,1,0,0,0,0,0,4,8,66,-1,http://itechworldbd.com/seen/doc/index.php,1
14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,169,1,4,-1,http://www.isedb.com/,0
14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,236,4,244,48326,http://www.dodge.com/,0
26,2,0,0,12,1,14,3,1,0,6,4,10,10,0,0,0,0,0,0,0,0,278,70,655,10011,http://www.forbes.com/private500/,0
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,219,9,105,96753,http://www.rockboss.com/,0
66,4,0,0,48,6,14,2,6,0,11,6.5,18,6.833333333,0,4,3,0,0,0,0,0,56,4,-1,-1,http://bmwclubavto.ru/p/p/Conflict/Resolution/www/PP-009-176-639-801/I...,1
21,1,0,0,1,0,20,2,0,0,16,9.5,0,0,0,0,0,0,0,0,0,0,147,21,480,-1,http://lindaskitcheninc.com/,0
25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,250,2,3618,908084111,http://www.butterfieldfarms.com/,0
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,124,8,1221,551,http://www.mancityfans.net/,0
22,1,0,0,1,0,21,2,0,0,17,10,0,0,0,0,0,0,0,0,0,0,195,9,96,310012,http://shoppingcartchina.com/,0
66,5,1,0,22,3,26,2,3,0,22,12.5,10,6,0,9,1,0,9,1,0,0,5,7,61,-1,http://desksupportmanagements.com/up/signin/N2MAA5ED86/login.php?count...,1
16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,176,4,254,92821,http://www.commalg.org/,0
66,9,1,0,49,4,10,3,4,0,4,2.666666667,17,11,0,7,3,0,0,0,0,0,-1,-1,233,-1,http://mpcs.ac.th/images/home/login.alibaba.com/login.alibaba.com/logi...,1
52,5,0,0,34,1,15,3,1,0,7,4.333333333,32,32,0,3,3,0,0,0,0,0,2,10,73,98083,http://www.anacola.xyz/da81c037fff171029c3729d12dce518b/...,1
63,5,0,0,43,2,17,3,2,0,9,5,32,20,0,3,3,0,0,0,0,0,43,17,53,-1,http://www.oncforums.com/femilala/e5d14e7af6e0c3c562474cd9d170860d/...,1
25,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,8,0,0,0,0,0,0,5,7,8,0,http://www.dimplexx.net/offer002,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,228,108,352,-1,http://www.republicoftea.com/,0
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,200,40,114,-1,http://www.classteacher.com/,0
42,6,0,0,24,2,15,4,2,1,3,3,11,10.5,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://167.114.172.148/~bnpparibas/bnpparibas/...,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,198,30,218,92627,http://www.hitimewine.net/,0
66,6,0,0,15,1,21,3,1,0,13,6.333333333,13,13,0,12,1,0,18,2,0,0,38,22,61,-1,http://www.photobooths2u.com/mmsadwqyttew2/cofirmuk.php?personal-UK&am...,1
18,2,0,0,1,0,17,3,0,0,7,5,0,0,0,0,0,0,0,0,0,0,227,37,764,500111208,http://mamet.eserver.org/,0
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,150,30,189,-1,http://www.fitnesolution.com/,0
53,4,0,0,22,2,20,4,2,0,8,4.25,11,9.5,0,11,1,0,0,0,0,0,-1,-1,-1,-1,http://www.utsc.utoronto.ca/~binnick/old%20tense/BIBLIO.html,0
13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.osti.gov/,0
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,187,77,196,-1,http://www.pratahkal.com/,0
66,4,0,0,37,6,23,2,6,0,19,11,8,5,0,6,3,0,0,0,0,0,11,1,347,12345,http://wisataindonesiaraya.com/admin/asset/kcfinder/upload/flash/i/dra...,1
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,225,39,648,-1,http://www.dinakaran.com/,0
45,5,0,1,15,2,15,2,2,0,12,7,9,6,0,15,4,0,0,0,0,0,-1,-1,-1,-1,http://therapie-art.ch/wordpress/bvd/identity.php...,1
30,3,0,0,12,2,18,4,2,0,5,3.75,5,4.5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.math.wayne.edu/~rrb/cohom/,0
13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.ford.com/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,157,11,1136,90045,http://www.sustainablecup.com/,0
